id,annotations/0/id,annotations/0/completed_by/id,annotations/0/completed_by/email,annotations/0/completed_by/first_name,annotations/0/completed_by/last_name,annotations/0/was_cancelled,annotations/0/ground_truth,annotations/0/created_at,annotations/0/updated_at,annotations/0/lead_time,annotations/0/result_count,annotations/0/task,annotations/0/parent_prediction,annotations/0/parent_annotation,file_upload,data/text/0,created_at,updated_at,project,annotations/0/result/0/value/start,annotations/0/result/0/value/end,annotations/0/result/0/value/text/0,annotations/0/result/0/value/labels/0,annotations/0/result/0/meta/text/0,annotations/0/result/0/id,annotations/0/result/0/from_name,annotations/0/result/0/to_name,annotations/0/result/0/type,annotations/0/result/1/value/start,annotations/0/result/1/value/end,annotations/0/result/1/value/text/0,annotations/0/result/1/value/labels/0,annotations/0/result/1/meta/text/0,annotations/0/result/1/id,annotations/0/result/1/from_name,annotations/0/result/1/to_name,annotations/0/result/1/type,annotations/0/result/2/value/start,annotations/0/result/2/value/end,annotations/0/result/2/value/text/0,annotations/0/result/2/value/labels/0,annotations/0/result/2/id,annotations/0/result/2/from_name,annotations/0/result/2/to_name,annotations/0/result/2/type
88,90,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:29:32.782773Z,2021-11-17T19:31:38.267137Z,23017.932,0,88,,,2df98dff-17.csv,"Et ils emportaient ainsi avec ardeur le cadavre , hors de la mêlée , vers les nefs creuses . Et le combat les suivait , acharné et terrible , comme un incendie qui éclate brusquement dans une ville ; et les maisons croulent dans une vaste flamme que tourmente la violence du vent . Ainsi le tumulte sans trêve des chevaux et des hommes poursuivait les Akhaiens . Comme des mulets vigoureux , se hâtant , malgré le travail et la sueur , traînent par l'âpre chemin d'une montagne , soit une poutre , soit un mât ; ainsi Ménélaos et Mèrionès emportaient à la hâte le cadavre . Et derrière eux , les Aias repoussaient les Troiens , comme une colline boisée , qui s'étend par la plaine , repousse les courants furieux des fleuves rapides qui ne peuvent la rompre et qu'elle rejette toujours vers la plaine . Ainsi les Aias repoussaient la foule des Troiens qui les poursuivaient , conduits par Ainéias Ankhisiade et par l'illustre Hektôr . Comme une troupe d'étourneaux et de geais vole en poussant des cris aigus , à l'approche de l'épervier qui tue les petits oiseaux , de même les fils des Akhaiens couraient avec des clameurs perçantes , devant Ainéias et Hektôr , et oublieux du combat . Et les belles armes des Danaens en fuite emplissaient les bords du fossé et le fossé lui-même ; mais le carnage ne cessait point .",2021-11-03T21:16:23.770046Z,2021-11-17T19:31:38.235538Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
87,89,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:27:34.599605Z,2021-11-17T19:31:30.290632Z,23009.958,0,87,,,2df98dff-17.csv,"Il parla ainsi , et , dans leurs bras , ils enlevèrent le cadavre . Et les Troiens poussèrent des cris horribles en voyant les Akhaiens enlever Patroklos . Et ils se ruèrent , semblables à des chiens qui , devançant les chasseurs , s'amassent sur un sanglier blessé qu'ils veulent déchirer . Mais s'il se retourne , confiant dans sa force , ils s'arrêtent et fuient çà et là . Ainsi les Troiens se ruaient en foule , frappant de l'épée et de la lance ; mais , quand les Aias se retournaient et leur tenaient tête , ils changeaient de couleur , et aucun n'osait les combattre pour leur disputer ce cadavre .",2021-11-03T21:16:23.769987Z,2021-11-17T19:31:30.253426Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
83,85,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:25:11.387749Z,2021-11-17T19:30:38.736656Z,22958.412,0,83,,,2df98dff-17.csv,"Et tu ne voulus point , divin Ménélaos , venir en aide aux compagnons attristés d'Antilokhos , aux Pyliens qui le regrettaient . Et il leur laissa le divin Thrasymèdès , et il retourna auprès du héros Patroklos , et , parvenu jusqu'aux Aias , il leur dit :",2021-11-03T21:16:23.769767Z,2021-11-17T19:30:38.704379Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
82,84,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:23:38.366638Z,2021-11-17T19:30:34.261736Z,22953.933,0,82,,,2df98dff-17.csv,"Il parla ainsi , et Antilokhos , accablé par ces paroles , resta longtemps muet , et ses yeux s'emplirent de larmes , et la voix lui manqua ; mais il obéit à l'ordre de Ménélaos . Et il remit ses armes à l'irréprochable Laodokos , son ami , qui conduisait ses chevaux aux sabots massifs , et il s'éloigna en courant . Et ses pieds l'emportaient , pleurant , afin d'annoncer au Pèléide Akhilleus la triste nouvelle .",2021-11-03T21:16:23.769712Z,2021-11-17T19:30:34.225856Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,82,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:22:21.081405Z,2021-11-17T19:30:21.044232Z,22940.694,0,80,,,2df98dff-17.csv,"Ayant ainsi parlé , le blond Ménélaos s'éloigna , regardant de tous les côtés , comme l'aigle qui , dit-on , est , de tous les oiseaux de l'Ouranos , celui dont la vue est la plus perçante , car , des hauteurs où il vit , il aperçoit le lièvre qui gîte sous un arbuste feuillu ; et il tombe aussitôt sur lui , le saisit et lui arrache l'âme . De même , divin Ménélaos , tes yeux clairs regardaient de tous côtés , dans la foule des Akhaiens , s'ils voyaient , vivant , le fils de Nestôr . Et Ménélaos le reconnut , à la gauche de la mêlée , excitant ses compagnons au combat . Et , s'approchant , le blond Ménélaos lui dit :",2021-11-03T21:16:23.769601Z,2021-11-17T19:30:21.004663Z,1,606,614,Ménélaos,Speaker,83,nYjNkeQygB,speech,text,labels,606,614,Ménélaos,Speaker,86,EDdOWwOcQU,speech,text,labels,,,,,,,,
79,81,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:18:24.111820Z,2021-11-17T19:29:53.003619Z,22912.658,0,79,,,2df98dff-17.csv,"— Aias , chefs des Argiens , et toi , Mèrionès , souvenez-vous de la douceur du malheureux Patroklos ! Pendant sa vie , il était plein de douceur pour tous ; et , maintenant , la mort et la moire l'ont saisi !",2021-11-03T21:16:23.769544Z,2021-11-17T19:29:52.956169Z,1,2,209,"Aias , chefs des Argiens , et toi , Mèrionès , souvenez-vous de la douceur du malheureux Patroklos ! Pendant sa vie , il était plein de douceur pour tous ; et , maintenant , la mort et la moire l'ont saisi !",Speech,,kWqZjZD6EB,speech,text,labels,103,209,"Pendant sa vie , il était plein de douceur pour tous ; et , maintenant , la mort et la moire l'ont saisi !",Dégoût,,FyDWVZ2heG,emotion,text,labels,2,102,"Aias , chefs des Argiens , et toi , Mèrionès , souvenez-vous de la douceur du malheureux Patroklos !",Colère,Y27HKE0Ltz,emotion,text,labels
78,80,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:18:17.474541Z,2021-11-17T19:29:19.156762Z,22878.819,0,78,,,2df98dff-17.csv,"Il parla ainsi , et le brave Ménélaos se hâta d'obéir , et il s'éloigna , comme un lion qui , fatigué d'avoir lutté contre les chiens et les hommes , s'éloigne de l'enclos ; car , toute la nuit , par leur vigilance , ils ne lui ont point permis d'enlever les boeufs gras . Il s'est rué sur eux , plein du désir des chairs fraîches ; mais la foule des traits a volé de leurs mains audacieuses , ainsi que les torches ardentes qu'il redoute malgré sa fureur ; et , vers le matin , il s'éloigne , le coeur attristé . De même le brave Ménélaos s'éloignait contre son gré du corps de Patroklos , car il craignait que les Akhaiens terrifiés ne l'abandonnassent en proie à l'ennemi . Et il exhorta Mèrionès et les Aias :",2021-11-03T21:16:23.769490Z,2021-11-17T19:29:19.117646Z,1,531,539,Ménélaos,Speaker,81,CZTSWpgwqX,speech,text,labels,,,,,,,,,,,,,,,,,
75,77,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:14:32.135571Z,2021-11-17T19:28:53.403774Z,22853.036,0,75,,,2df98dff-17.csv,"— Ô dieux ! le plus insensé comprendrait maintenant que le père Zeus donne la victoire aux Troiens . Tous leurs traits portent , que ce soit la main d'un lâche qui les envoie ou d'un brave ; Zeus les dirige , et les nôtres tombent vains et impuissants sur la terre . Allons , songeons au moins au meilleur moyen d'entraîner le cadavre de Patroklos , et nous réjouirons ensuite nos compagnons par notre retour . Ils s'attristent en nous regardant , car ils pensent que nous n'échapperons pas aux mains inévitables et à la vigueur du tueur d'hommes Hektôr , mais que nous serons rejetés vers les nefs noires . Plût aux dieux qu'un de nous annonçât promptement ce malheur au Pèléide ! Je ne pense pas qu'il sache que son cher compagnon est mort . Mais je ne sais qui nous pourrions envoyer parmi les Akhaiens . Un brouillard noir nous enveloppe tous , les hommes et les chevaux . Père Zeus , délivre de cette obscurité les fils des Akhaiens ; rends-nous la clarté , que nos yeux puissent voir ; et si tu veux nous perdre dans ta colère , que ce soit du moins à la lumière !",2021-11-03T21:16:23.769319Z,2021-11-17T19:28:53.354576Z,1,2,1070,"Ô dieux ! le plus insensé comprendrait maintenant que le père Zeus donne la victoire aux Troiens . Tous leurs traits portent , que ce soit la main d'un lâche qui les envoie ou d'un brave ; Zeus les dirige , et les nôtres tombent vains et impuissants sur la terre . Allons , songeons au moins au meilleur moyen d'entraîner le cadavre de Patroklos , et nous réjouirons ensuite nos compagnons par notre retour . Ils s'attristent en nous regardant , car ils pensent que nous n'échapperons pas aux mains inévitables et à la vigueur du tueur d'hommes Hektôr , mais que nous serons rejetés vers les nefs noires . Plût aux dieux qu'un de nous annonçât promptement ce malheur au Pèléide ! Je ne pense pas qu'il sache que son cher compagnon est mort . Mais je ne sais qui nous pourrions envoyer parmi les Akhaiens . Un brouillard noir nous enveloppe tous , les hommes et les chevaux . Père Zeus , délivre de cette obscurité les fils des Akhaiens ; rends-nous la clarté , que nos yeux puissent voir ; et si tu veux nous perdre dans ta colère , que ce soit du moins à la lumière !",Speech,,cHE1rtZyYD,speech,text,labels,2,607,"Ô dieux ! le plus insensé comprendrait maintenant que le père Zeus donne la victoire aux Troiens . Tous leurs traits portent , que ce soit la main d'un lâche qui les envoie ou d'un brave ; Zeus les dirige , et les nôtres tombent vains et impuissants sur la terre . Allons , songeons au moins au meilleur moyen d'entraîner le cadavre de Patroklos , et nous réjouirons ensuite nos compagnons par notre retour . Ils s'attristent en nous regardant , car ils pensent que nous n'échapperons pas aux mains inévitables et à la vigueur du tueur d'hommes Hektôr , mais que nous serons rejetés vers les nefs noires .",Tristesse,,S4HGkDpJZm,emotion,text,labels,608,679,Plût aux dieux qu'un de nous annonçât promptement ce malheur au Pèléide,Colère,5sv6WgWDAD,emotion,text,labels
74,76,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:14:09.974417Z,2021-11-17T19:27:28.918946Z,22768.59,0,74,,,2df98dff-17.csv,"Il parla ainsi , et Idoméneus fouetta les chevaux aux belles crinières , jusqu'aux nefs creuses , car la crainte avait envahi son coeur . Et le magnanime Aias et Ménélaos reconnurent aussi que la victoire échappait aux Akhaiens et que Zeus la donnait aux Troiens . Et le grand Télamônien Aias dit le premier :",2021-11-03T21:16:23.769260Z,2021-11-17T19:27:28.885813Z,1,277,292,Télamônien Aias,Speaker,77,kyGM-LXtgX,speech,text,labels,,,,,,,,,,,,,,,,,
73,75,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:13:11.018023Z,2021-11-17T19:27:22.374100Z,22762.039,0,73,,,2df98dff-17.csv,— Fouette maintenant les rapides chevaux jusqu'aux nefs ; tu vois comme moi que la victoire échappe aux Akhaiens .,2021-11-03T21:16:23.769204Z,2021-11-17T19:27:22.339437Z,1,2,114,Fouette maintenant les rapides chevaux jusqu'aux nefs ; tu vois comme moi que la victoire échappe aux Akhaiens .,Speech,,NKwwQd6CN3,speech,text,labels,2,114,Fouette maintenant les rapides chevaux jusqu'aux nefs ; tu vois comme moi que la victoire échappe aux Akhaiens .,Colère,,06M1LUpZj8,emotion,text,labels,,,,,,,,
